Gene_ID	Vegetative_Meristem_16-19Day	6-7_internode	7-8_internode	Juvenile_Leaf_Blade3	Leaf_Zone 1_Symmetrical	Leaf_Zone 2_Stomatal	Leaf_Zone 3_Growth	Mature_Leaf_8	Primary_Root_5Days	Root_Meristem_Zone_5Days	Root_Cortex_5Days	Root_Stelle_5Days	Root_Elongation_Zone_5Days	Secondary_Root_7-8_Days	Tassel	Anther_1.0mm	Anther_2.0mm	W23_Pollen	B73_Mature_Pollen	B73_Germ_Pollen	Female_Spikelet	Ear_Primordium_1mm	Ear_Primordium_2-4mm	Ear_Primordium_6-8mm	Silk_unpollinated	Endosperm_8_DAP	Endosperm_10_DAP	Endosperm_12_DAP	Endosperm Crown_27_DAP	Pericarp_Aleurone_27_DAP	Embryo_20_DAP	Embryo_38_DAP	Germ_Kernels_2_DAI
Zm00001d048529	620.0268299	857.1996294	677.2985354	71.44565839	1628.599731	1589.32489	2016.844059	215.3599184	617.8157328	1343.314761	676.9172489	1153.306497	1835.747233	764.4097628	1831.105772	1407.438031	1393.267956	204.1947019	283.1989036	395.0656431	1283.623076	1236.624378	1666.507336	1079.582119	665.5220842	1431.707745	722.7391586	1046.326334	74.22649506	303.4077416	1242.934549	576.3590733	553.7994587
Zm00001d028412	105.3152201	264.3843311	179.7996457	0	60.2396125	155.7962163	250.9365811	1.576517162	132.1052685	34.6160515	86.09804406	226.9922331	96.48380194	52.53476115	10.60157948	41.09773001	46.6759779	0	0	0	139.1600441	39.96600153	27.61675821	28.00545259	208.2517567	260.6616703	98.20714148	68.94193803	100.3529892	56.61417329	56.3285077	30.48150186	22.38161272
Zm00001d015297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.655099603	0	0	0	0	0	0	0	0
Zm00001d053887	38.50397779	0	0	0	0	10.20458765	0	48.99812739	144.493847	0	0	0	0	78.8869512	0	0	0	0	0	0	0	0	0	0	14.4766145	0	0	0	52.30752507	38.42349897	34.78259583	28.33372522	0
Zm00001d037247	484.6236313	52.39484918	58.29004603	0	117.2669716	157.419494	169.2273018	0	90.96116012	369.2712974	4.676520415	21.71812317	218.7932029	41.9049804	136.1680621	356.2513708	295.6721438	0	0	0	6.595380792	105.5468659	95.18899727	168.8102926	3.000087874	82.21030519	96.21013164	117.3332705	18.16107798	52.03434363	180.7650511	92.4994744	52.99841858
Zm00001d008595	0	0	29.62450911	0	8.159851329	0	0	3.145400176	188.9457064	0	297.9558744	21.19968106	26.19354763	204.6860181	0	0	0	0	0	0	288.6641577	0	0	97.56541134	832.3986436	124.0964666	92.27896398	7.5057044	35.38561526	629.2520877	163.3075496	18.39433126	28.34315945
Zm00001d052125	0	0	0	0	0	26.10112082	106.4104738	0	0	39.35076192	0	0	399.003376	0	57.66143966	0	0	0	0	0	0	0	8.177876625	0	40.43548187	0	0	0	0	0	0	0	0
Zm00001d027756	1123.705217	1064.654592	664.1813741	619.6065985	743.3112282	467.7795958	496.2833231	434.8966045	2503.30264	1267.818949	2253.994528	6916.029295	1910.730722	3274.61144	1698.857859	1584.979091	1828.077125	602.7749497	803.4866958	609.8638685	2313.644947	1209.986998	1361.250172	1275.777304	1821.042129	837.5371638	1029.790699	330.2933309	3370.438208	2755.873327	1536.824669	3555.843624	1403.03926
Zm00001d013094	0	8.432496054	0	0	12.96332033	8.723305932	34.09420554	0	0	20.04117315	0	0	0	0	0	0	0	0	0	0	0	0	75.30672527	35.07216151	0	0.994993324	0	0	0	0	0	0	0
Zm00001d013566	184.2463939	206.8529416	230.5710504	0	263.5255059	609.3056765	563.539761	1.286474966	7.122468929	150.2787573	2.428255756	0	78.92069063	1.917748901	440.1754807	146.8827569	150.3928243	0	0	0	158.1771618	258.0501191	276.5083886	336.5336855	0	52.65440296	38.1175169	13.09192213	0	2.304298649	143.3957983	20.80361155	0
Zm00001d010858	198.114325	170.1183661	111.2161978	20.00408087	277.7785781	205.1034784	222.848662	41.75154189	337.6913716	163.0080629	118.7127392	239.6163436	192.5079816	199.0620325	86.82644147	310.3106031	442.6883547	19.03460842	126.836815	54.25791513	316.1941249	282.3762585	170.2446324	134.2349786	110.7150686	373.1610784	221.8406391	343.8850504	42.95188598	21.07473059	440.5055857	73.30481016	272.8343306
Zm00001d025059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1200.311571	193.9374052	0	365.0490826	5043.516428	0	0	0
